R,k,mutation_proba,testing_proba,sequencing_proba,n_clusters,max_cluster_size,detection_proba,n_divergent_transitions,R_estimate,R_lower_cred_int,R_upper_cred_int,min_R_Rhat,max_R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,min_k_Rhat,max_k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,min_mutation_proba_Rhat,max_mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,min_testing_proba_Rhat,max_testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,min_detection_proba_Rhat,max_detection_proba_Rhat
0.7,0.5,0.281,0.4,0.01,3000,1500,0.004,0,0.728493081606475,0.4809064386267412,1.0457692043883293,0.9988567358007405,1.0046960260842932,0.526270288889293,0.18701989754621776,1.0363070190891865,0.9989231979991822,1.0042922485768246,0.2918864432848784,0.20519180134004739,0.3861972874906877,0.9998476172068255,1.0051783653071706,0.43213421314937905,0.07324072962272164,0.9451880205772183,0.9997935692745312,1.0061099311205117,0.00432134213149379,7.324072962272164e-4,0.009451880205772185,0.9997935692745313,1.0061099311205117
0.9,0.5,0.281,0.4,0.01,3000,1500,0.004,0,0.8554717442766028,0.6480719551904044,1.1444237408183222,1.0005232822680965,1.0042212567934208,0.510237639102428,0.17807332657246486,1.0303963645625736,0.999163365782409,1.0014656625479121,0.2880814726646837,0.20213863675266855,0.38160296188247494,0.9986676343208101,1.0031845956581849,0.5441924163057099,0.09257879733382829,0.9741870091091738,0.999107438548667,1.0038412710308982,0.0054419241630571,9.25787973338283e-4,0.009741870091091738,0.999107438548667,1.0038412710308982
1.1,0.5,0.281,0.4,0.01,3000,1500,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.5,0.281,0.4,0.01,3000,1500,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.1,0.281,0.6,0.01,3000,1500,0.006,0,0.8984018719232919,0.6949184621885606,1.1701045492678468,1.001446080722823,1.0059292729640763,0.4873223354006777,0.16784502759238235,0.9847819676284331,1.0003436416235494,1.0045403669554351,0.2867819746782344,0.2025999094250181,0.37714125480169414,0.9988885654437709,1.0044639176479655,0.582875099609672,0.1069194614401791,0.9817756433887324,0.9995503816477589,1.0089108436730432,0.0058287509960967205,0.0010691946144017908,0.009817756433887324,0.9995503816477589,1.0089108436730432
0.9,0.1,0.281,0.6,0.01,3000,1500,0.006,0,1.0565135568190076,0.8880560638024659,1.2677257587293096,1.0003743872627224,1.0071556362901894,0.4603771756795418,0.1600136314017768,0.9631739219389645,1.0002712158061366,1.0021644359322905,0.28233218580156105,0.1981897204225164,0.3734361643918872,1.0012492311505585,1.0043494278314793,0.6211781060948025,0.13264609987125756,0.9819769738368829,1.0000876007286925,1.0089781574327632,0.006211781060948026,0.0013264609987125755,0.00981976973836883,1.0000876007286925,1.0089781574327632
1.1,0.1,0.281,0.6,0.01,3000,1500,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.1,0.281,0.6,0.01,3000,1500,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.3,0.281,0.6,0.01,3000,1500,0.006,0,0.8099796444053146,0.5891271734426059,1.10760668161569,0.9996902653363751,1.0044459127712628,0.5177837498155077,0.18404230332602628,1.0315618197579786,0.9991373927944324,1.0064837369945299,0.29022921487953174,0.20252623969137568,0.3855517939225372,0.9989766237209519,1.003201363477452,0.5220129996382721,0.0868818390272914,0.970675337237196,0.9994963022460832,1.0052147577938546,0.0052201299963827216,8.68818390272914e-4,0.009706753372371962,0.9994963022460832,1.0052147577938546
0.9,0.3,0.281,0.6,0.01,3000,1500,0.006,0,0.949943564961973,0.7624125130185105,1.2040168020038102,1.0021240417169588,1.0076193699101592,0.4791891261309563,0.1604937026186783,0.9841117155799867,1.0013981256417506,1.0036480308446327,0.2851712372045652,0.20099025015863423,0.37739231831052805,0.9986772440058511,1.0037003198504861,0.5984804188274936,0.11505936602901885,0.9799793728488551,1.0012510172233657,1.0048552665197796,0.005984804188274935,0.0011505936602901885,0.00979979372848855,1.0012510172233657,1.0048552665197796
1.1,0.3,0.281,0.6,0.01,3000,1500,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.3,0.281,0.6,0.01,3000,1500,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.5,0.281,0.6,0.01,3000,1500,0.006,0,0.7625138937876377,0.5354792370697099,1.0737186846242974,1.0023082152632081,1.0086933694903404,0.5166683535153588,0.17227318159854613,1.0542378327702655,0.9990715549372989,1.001982492929022,0.2907154331193888,0.2047383506471236,0.383249516615148,0.9993343856548447,1.0028421083825316,0.49364134899771517,0.07957956221664388,0.9652130345132178,1.0006621715998056,1.0090338293354117,0.0049364134899771515,7.957956221664387e-4,0.009652130345132178,1.0006621715998056,1.0090338293354115
0.9,0.5,0.281,0.6,0.01,3000,1500,0.006,0,0.9146110294234824,0.7218239016193543,1.1798788297773002,1.0009384710925828,1.006748935889324,0.49387635546932646,0.16894911951659988,1.0172121502246705,0.9989700614629383,1.0051861096327652,0.28690899668302466,0.20357714476701333,0.38056535652628354,0.9995785578449762,1.0066337662363591,0.5828477474478685,0.10711352043761861,0.9808435333863376,1.000085428952671,1.0063628260526636,0.005828477474478685,0.0010711352043761863,0.009808435333863375,1.000085428952671,1.0063628260526636
1.1,0.5,0.281,0.6,0.01,3000,1500,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3,0.5,0.281,0.6,0.01,3000,1500,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.1,0.281,0.8,0.01,3000,1500,0.008,0,0.9230743687642778,0.7161053358240994,1.1762407374125936,1.0001426268422584,1.0036327040173216,0.4152678064907759,0.11626827111156197,0.9156223308002199,1.0011882312831102,1.0028957545852395,0.2862944737047394,0.19904713210116315,0.38201384349330153,0.9994917230891489,1.0025727125000512,0.6186837461041564,0.12370136623503192,0.9849633938666967,0.9995054739699349,1.00266469411855,0.006186837461041564,0.001237013662350319,0.009849633938666969,0.9995054739699349,1.00266469411855
