country,month,index_param_comb,index_repetition,n_clusters,max_cluster_size,R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba
switzerland,02,47,1,2712,2500,0.9462073096546235,0.2696225059650936,13.47593422609964,5.2,0.8930190893603921,0.1312052320149486
switzerland,02,48,1,2712,2500,0.9386498812552785,0.20009090657130973,14.816336943595537,5.2,0.39898219440872573,0.1312052320149486
switzerland,02,49,1,2712,2500,0.9404412983609298,0.3410286916614305,14.380825724691059,5.2,0.7712908243930834,0.1312052320149486
switzerland,02,50,1,2712,2500,0.9974681616238629,0.23184388449273702,13.895129436938035,5.2,0.5510896652149648,0.1312052320149486
switzerland,03,01,1,3417,2500,0.95445437933598265,0.2108737060165623,13.880272471758246,5.2,0.6873046339020517,0.1165240004334164
switzerland,03,02,1,3417,2500,0.9580909110541227,0.18315742553087513,14.167165687319246,5.2,0.8601189193507477,0.1165240004334164
switzerland,03,03,1,3417,2500,0.9498452537586894,0.2763791675655001,13.786929350069595,5.2,0.963340927657959,0.1165240004334164
switzerland,03,04,1,3417,2500,0.9510333576028474,0.13286951655942014,13.580399176870467,5.2,0.9640940079753226,0.1165240004334164
switzerland,03,05,1,3417,2500,0.9508252714334483,0.1613648700589946,14.267553634059306,5.2,0.4693411691589826,0.1165240004334164
switzerland,03,06,1,3417,2500,0.9565555843865202,0.26174300961620667,12.731286354123133,5.2,0.90905951129922,0.1165240004334164
switzerland,03,07,1,3417,2500,0.9391193990302448,0.22617583950071865,13.61457942272534,5.2,0.6288986144658782,0.1165240004334164
switzerland,03,08,1,3417,2500,0.9761916994575458,0.13471994182677327,13.715470206871437,5.2,0.8016601424572573,0.1165240004334164
switzerland,03,09,1,3417,2500,1.0038246223258522,0.1876891838664386,13.840300775446964,5.2,0.8773615033160835,0.1165240004334164
switzerland,03,10,1,3417,2500,0.9376116448088085,0.18453158572755415,13.609885766694923,5.2,0.6166124785496342,0.1165240004334164
switzerland,03,11,1,3417,2500,0.9548286241899973,0.19751008397202588,13.37454532517991,5.2,0.9252437653089961,0.1165240004334164
switzerland,03,12,1,3417,2500,0.9182479087030552,0.18550108828132886,13.762794195267542,5.2,0.9685815821914183,0.1165240004334164
switzerland,03,13,1,3417,2500,0.9393009547809623,0.19968944318532714,14.032695474506088,5.2,0.9387583144348711,0.1165240004334164
switzerland,03,14,1,3417,2500,0.9840905097472649,0.1463842333729233,14.76791518036484,5.2,0.91347709273547,0.1165240004334164
switzerland,03,15,1,3417,2500,0.9606324953887541,0.20153645067958728,13.806809986120243,5.2,0.6230301560930847,0.1165240004334164
switzerland,03,16,1,3417,2500,0.9679032269611005,0.1971047268607195,14.277767086595473,5.2,0.7325645875119686,0.1165240004334164
switzerland,03,17,1,3417,2500,0.9422783277528813,0.15203963639015186,14.37062833181199,5.2,0.7362422502619916,0.1165240004334164
switzerland,03,18,1,3417,2500,0.979344964619789,0.15174363621551326,14.216882991213945,5.2,0.6256261499809675,0.1165240004334164
switzerland,03,19,1,3417,2500,0.9524926674798636,0.15293936686784207,14.694817012526741,5.2,0.6713016753419959,0.1165240004334164
switzerland,03,20,1,3417,2500,0.9188067726787129,0.1634276903692444,14.417080956539067,5.2,0.4714901365290034,0.1165240004334164
switzerland,03,21,1,3417,2500,0.9364756428337282,0.18498565910669926,13.718229494744982,5.2,0.6725148092078853,0.1165240004334164
switzerland,03,22,1,3417,2500,0.948927791105572,0.18828453314708501,13.718494909120272,5.2,0.2586503444768364,0.1165240004334164
switzerland,03,23,1,3417,2500,0.9690967995668857,0.18382120596016424,14.729011502873119,5.2,0.9246596441619235,0.1165240004334164
switzerland,03,24,1,3417,2500,0.9428117383545102,0.20135859015684335,14.490601025813552,5.2,0.5748307164070023,0.1165240004334164
switzerland,03,25,1,3417,2500,0.9105543760285207,0.21390055930672278,14.086116342754812,5.2,0.4783569332322729,0.1165240004334164
switzerland,03,26,1,3417,2500,0.9221890343171307,0.1251330394396703,14.206519011919383,5.2,0.797011536642196,0.1165240004334164
switzerland,03,27,1,3417,2500,0.9542506350113337,0.18029644999480476,14.400432341269926,5.2,0.7831322062729583,0.1165240004334164
switzerland,03,28,1,3417,2500,0.9460032551182194,0.20811973090395314,14.956465237719348,5.2,0.587364711135012,0.1165240004334164
switzerland,03,29,1,3417,2500,0.9580037167109772,0.22643170671649018,14.128531787652953,5.2,0.7583683301147726,0.1165240004334164
switzerland,03,30,1,3417,2500,0.9576456192578353,0.22265154207028715,14.072551434820177,5.2,0.8078005461710815,0.1165240004334164
switzerland,03,31,1,3417,2500,0.9698159760639966,0.21197122917785913,14.693421131399504,5.2,0.7994414203865025,0.1165240004334164
switzerland,03,32,1,3417,2500,0.9595762843641149,0.1788705438103524,13.570839286396346,5.2,0.4643560183815702,0.1165240004334164
switzerland,03,33,1,3417,2500,0.930894610373675,0.1927629476443662,14.242309923653995,5.2,0.5448135553908775,0.1165240004334164
switzerland,03,34,1,3417,2500,0.9511483886333151,0.15224168305737157,13.584856800897656,5.2,0.9410337157434874,0.1165240004334164
switzerland,03,35,1,3417,2500,0.9780228276978986,0.20706570814129113,13.29204402771452,5.2,0.7916976830822944,0.1165240004334164
switzerland,03,36,1,3417,2500,0.9520349930626092,0.20353533352546485,14.80834110945378,5.2,0.6554538493280707,0.1165240004334164
switzerland,03,37,1,3417,2500,0.980399348632863,0.1800609103140079,14.406013541923851,5.2,0.988628553443741,0.1165240004334164
switzerland,03,38,1,3417,2500,0.9544378551029813,0.17134630344059568,14.76415755758732,5.2,0.7349373084899479,0.1165240004334164
switzerland,03,39,1,3417,2500,0.9220585989328652,0.23624624559743476,13.842687967326986,5.2,0.6637123519052763,0.1165240004334164
switzerland,03,40,1,3417,2500,0.9524835481881196,0.2380158123413514,13.576528917544891,5.2,0.9037616896177748,0.1165240004334164
switzerland,03,41,1,3417,2500,0.9988231235325767,0.18747172791293348,13.613105048926466,5.2,0.24645290799412609,0.1165240004334164
switzerland,03,42,1,3417,2500,0.9441903024511339,0.2216861201080786,13.882254713289614,5.2,0.541432483552398,0.1165240004334164
switzerland,03,43,1,3417,2500,0.9166005053730862,0.14797016579487193,14.375978806103737,5.2,0.619109287706192,0.1165240004334164
switzerland,03,44,1,3417,2500,0.952650944156279,0.1529553706435743,14.274976544295772,5.2,0.6902772252459234,0.1165240004334164
switzerland,03,45,1,3417,2500,0.9404289283748329,0.2119712688181284,13.504745287779155,5.2,0.3533461822323234,0.1165240004334164
switzerland,03,46,1,3417,2500,0.9547639993791853,0.1688883558244165,13.010332619073589,5.2,0.9913240382903817,0.1165240004334164
switzerland,03,47,1,3417,2500,0.9473827160358137,0.2237883000509003,13.950911455488923,5.2,0.9843509429465864,0.1165240004334164
switzerland,03,48,1,3417,2500,0.9576692404176971,0.1967739736839795,14.141609307585771,5.2,0.7271340843702859,0.1165240004334164
switzerland,03,49,1,3417,2500,0.9939871581017206,0.19140094665560184,13.485149144215303,5.2,0.9065352128537157,0.1165240004334164
switzerland,03,50,1,3417,2500,0.9823616290600841,0.1744306171455334,13.815176474964794,5.2,0.8200699187984728,0.1165240004334164
switzerland,04,01,1,4957,2500,0.8789162460693994,0.26047734187061006,14.207830873594617,5.2,0.9625734755868351,0.12875204265932744
switzerland,04,02,1,4957,2500,0.9044136199989293,0.24405056022181637,13.958745499668002,5.2,0.9351190773127718,0.12875204265932744
switzerland,04,03,1,4957,2500,0.9309166263392253,0.15423975790025132,14.795451569822475,5.2,0.9111995939586741,0.12875204265932744
switzerland,04,04,1,4957,2500,0.942339815974187,0.29258985529481996,13.843994757014602,5.2,0.9582638558358769,0.12875204265932744
switzerland,04,05,1,4957,2500,0.9463362969492846,0.1951064680209942,13.684229468595914,5.2,0.40119482920548316,0.12875204265932744
switzerland,04,06,1,4957,2500,0.9290491404927176,0.2239842594067392,13.8324306343468,5.2,0.8313649727632245,0.12875204265932744
switzerland,04,07,1,4957,2500,0.8998832825801858,0.21960314653065344,12.585414072349895,5.2,0.8828600484576012,0.12875204265932744
switzerland,04,08,1,4957,2500,0.9036767484593144,0.25008706734683667,13.077223964483974,5.2,0.9748013572382328,0.12875204265932744
