month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba,detection_proba
1,Denmark,0.4610059559075743,1.2421168584997964,1.2273440339751591,1.257600089179484,1.0037684854969016,0.3781015969431072,0.3236253465086638,0.4432462937634692,1.0000694935047796,0.2811,0.576,0.2655394306027628
2,Denmark,0.7206751711263223,1.2843085127619522,1.2673560970800548,1.3024328917541754,1.0017486595024951,0.558706405593661,0.46049472261821267,0.6907142410967213,1.0010770030120013,0.2811,0.576,0.4151088985687616
3,Denmark,0.8446500444305055,1.2329705367164518,1.2140948214784717,1.2507137509152157,1.0025774399257759,0.4919477218558234,0.42395602257863574,0.5700268439628297,1.001681694250173,0.2811,0.576,0.4865184255919711
4,Denmark,0.7160583941605839,1.2636913191227122,1.248340355494888,1.2795004431073125,1.0000094586280805,0.4986765706650699,0.42504986339073136,0.5750460397725131,1.0031811600832827,0.2811,0.576,0.4124496350364963
5,Denmark,0.7788510079763067,1.2129391282545563,1.1951620093074071,1.2300095732281162,0.9988792515045612,0.3138874613829934,0.2798675266440655,0.354892581587033,1.0048090126822689,0.2811,0.576,0.4486181805943526
6,Denmark,0.4361115894609954,1.309209430409528,1.2899693779803332,1.3278481001209208,1.0021867465310867,0.3193697808267713,0.2505884476477109,0.4040480759348658,1.003094362187708,0.2811,0.576,0.25120027552953333
7,Denmark,0.831049268538759,1.0985870722396358,1.0769355642548355,1.1197623938481285,1.0036099882944094,0.24535517801962348,0.22155356025397283,0.2711918839502523,0.9995623118221928,0.2811,0.576,0.4786843786783252
8,Denmark,0.8218173050427114,1.0711583890550918,1.0553436703318784,1.087488042677044,1.0008763020973994,0.38485209638132545,0.3483433266570987,0.42292986973224,1.003644868492204,0.2811,0.576,0.47336676770460173
9,Denmark,0.8594348659003831,1.191088442989848,1.1739916132866342,1.209113568983384,1.004130112626172,0.33244838606150484,0.2848999362612774,0.3886834931954029,1.000164368885632,0.2811,0.35,0.30080220306513406
10,Denmark,0.7840743499239015,0,0,0,0,0,0,0,0,0.2811,0.35,0.2744260224733655
11,Denmark,0.4651326206515323,0,0,0,0,0,0,0,0,0.2811,0.35,0.1627964172280363
12,Denmark,0.11679548294534178,0,0,0,0,0,0,0,0,0.2811,0.35,0.04087841903086962
1,Germany,0.01421670317554727,0,0,0,0,0,0,0,0,0.2811,0.576,0.008188821029115226
2,Germany,0.08132398850871185,1.1111049575299667,1.095024158448902,1.1253934126948129,1.003444715591129,0.08619606888643322,0.07436959917166706,0.09900823863970157,0.9999041199712191,0.2811,0.576,0.04684261738101802
3,Germany,0.09200952967315362,1.14957119836391,1.1394391417372751,1.1599473807814515,1.0041178755265359,0.14526819027262655,0.12880268278369128,0.16408196100788539,1.0043406754380386,0.2811,0.576,0.05299748909173648
4,Germany,0.07326079637891011,1.1489956429658663,1.1393948565642322,1.1585323128401341,1.0050269057456145,0.14172804230695274,0.1263656369877684,0.16111372408599536,1.0107001312670414,0.2811,0.576,0.04219821871425222
5,Germany,0.09080554067705826,1.1353334448597843,1.1242229392027283,1.1465558758611594,1.0011259012360267,0.15780370450310394,0.139110853249101,0.17852983647574294,1.0027202683611542,0.2811,0.576,0.052303991429985555
6,Germany,0.16881611360672366,1.110659433530325,1.09126179340917,1.1291912728418778,1.0034612618382488,0.22173370638892392,0.18038499243616216,0.27162345657558684,1.0018038444851016,0.2811,0.576,0.09723808143747283
7,Germany,0.20889322100768176,1.056022384997809,1.0344437898897072,1.0763323988088038,1.0023055010817408,0.1899578826183631,0.15933213555750955,0.2269299291226888,1.0095680147052755,0.2811,0.576,0.12032249530042469
8,Germany,0.1649893191744647,1.0013938033185488,0.9886083726421061,1.0138500048281214,0.9995193247495465,0.1477018223602715,0.1330006511049423,0.16346781902605434,1.001166012322045,0.2811,0.576,0.09503384784449165
9,Germany,0.14321756571307928,1.0644635136183873,1.0538934042532806,1.0749179281441743,1.0042633563189778,0.12953451970433238,0.1165136755022838,0.14462223438768249,1.0020265020182366,0.2811,0.35,0.05012614799957774
10,Germany,0.08314871153418064,0,0,0,0,0,0,0,0,0.2811,0.35,0.029102049036963222
11,Germany,0.03756630061481104,0,0,0,0,0,0,0,0,0.2811,0.35,0.013148205215183863
12,Germany,0.03926731575008058,0,0,0,0,0,0,0,0,0.2811,0.35,0.0137435605125282
