period,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba,detection_proba
1,New Zealand,0.25229960578186594,0.757298821702485,0.5888817929032449,0.9199345760026741,1.002615600952592,0.5181078766882108,0.20027751454887172,1.0404589012901486,1.006664057518253,0.2608825,0.8,0.20183968462549276
2,New Zealand,0.5082212257100149,0.7964273463593834,0.6861643609845594,0.9219895715887847,0.9988621168474506,0.5208565925333386,0.2626207464747379,0.9274097159837768,1.001489317878487,0.2608825,0.8,0.40657698056801195
3,New Zealand,0.45879732739420936,0.7113099038906389,0.5932646784215605,0.8355198187043108,0.9998994852917583,0.725808806205349,0.3701756175740694,1.2531357441148012,1.0006219666811478,0.2608825,0.8,0.3670378619153675
4,New Zealand,0.4801587301587302,0.6492261885133529,0.46357077905476707,0.853534881661914,1.0017124606049987,0.36987140074815855,0.12654308813465454,0.8041713551165379,0.9998107468359237,0.2608825,0.8,0.38412698412698415
all,New Zealand,0.40309713749413423,0.8702268381489163,0.7862609772702225,0.9553734099407984,1.002879811714674,0.5534466618050492,0.3012391851926369,0.9373186194981519,0.9997579373702741,0.36245380000000005,0.8,0.3224777099953074
1,New Zealand,0.25229960578186594,0.8632631994310982,0.6792281202156456,1.058896717034542,1.0011306538522482,0.5121989421294748,0.19957942013053728,1.002686890070049,1.0000412548228088,0.36245380000000005,0.8,0.20183968462549276
2,New Zealand,0.5082212257100149,0.915669914709357,0.7893402334446742,1.054209983200481,1.0014323722143026,0.5136564026872488,0.25043480810160623,0.9537424583631751,1.0032467141584893,0.36245380000000005,0.8,0.40657698056801195
3,New Zealand,0.45879732739420936,0.8158840344314611,0.6793665395357303,0.964597043211452,1.0045259059833758,0.7334245893882579,0.3698496903922945,1.2961353307761483,1.0022475982390664,0.36245380000000005,0.8,0.3670378619153675
4,New Zealand,0.4801587301587302,0.7407949145022341,0.542647473784727,0.9739462376218306,1.0014822548481834,0.3799898845007466,0.12286117951606537,0.797457845752701,1.001726272196552,0.36245380000000005,0.8,0.38412698412698415
all,New Zealand,0.40309713749413423,0.9926547218650299,0.8943103958875234,1.0906777161948105,1.0039997448475575,0.5618246112250007,0.30970783009211594,0.9584086461785384,1.0034769405697315,0.4431168,0.8,0.3224777099953074
1,New Zealand,0.25229960578186594,0.9780540194797578,0.769641720505531,1.1800895519210506,1.0000219470697105,0.5062710460275633,0.19303693824477633,1.000085357628079,1.0019042810657182,0.4431168,0.8,0.20183968462549276
2,New Zealand,0.5082212257100149,1.041143155575577,0.8877531357913858,1.2053558939617586,1.0049759072256184,0.49467191957377277,0.24845701960334549,0.8805788068649707,1.002645851499819,0.4431168,0.8,0.40657698056801195
