month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
1,Germany,0.01421670317554727,1.0883909904068039,1.058329860317949,1.1156013820160544,1.003280494072368,0.020159613361493058,0.012041105344774108,0.027226252521354737,1.0062118549112613,0.2811,0.8582763476192632,0.5220831332172395,0.9947714338867877,1.0082678360087958,0.012201834789543795,0.007422285555922226,0.014142340894413973,1.0082678360087958
2,Germany,0.08132398850871185,1.0889926991407577,1.0704521871330954,1.1126192620085595,1.0068385867935827,0.11348826394118763,0.08740030656074439,0.13446934636171134,1.0040138842274118,0.2811,0.892047594933215,0.6252046369471568,0.9975239459973497,1.0079255699939331,0.07254486835957283,0.05084413471068394,0.08112262592145336,1.0079255699939331
3,Germany,0.09200952967315362,1.1224211524208931,1.1087436634639476,1.1442110219107249,1.0018016377051036,0.18342099980517276,0.15300795747926668,0.21084287580042332,1.0029024468204024,0.2811,0.9017238133173617,0.6595463953111952,0.9971151149338353,1.0017534200539275,0.0829671839584131,0.06068455363020692,0.09174409275505471,1.0017534200539278
4,Germany,0.07326079637891011,1.1228124596731357,1.1090956288795941,1.1442343428893447,1.0015290668549597,0.17966724624761674,0.14816103721863072,0.2053633199465828,1.0045175070915995,0.2811,0.9006251323667369,0.665615316808152,0.9977322351238833,1.0027434493556524,0.06598051443604849,0.04876350819136577,0.07309465811808569,1.0027434493556524
5,Germany,0.09080554067705826,1.1059228327346213,1.0901216569150212,1.1296108951292072,1.0037268925715939,0.19651575712335123,0.16418431621829918,0.2244773155265877,0.9994088268984359,0.2811,0.8987097639620014,0.6626849834420055,0.9980068320994394,1.0020700176574415,0.08160782602832094,0.060175468220018714,0.09062454998818771,1.0020700176574415
6,Germany,0.16881611360672366,1.0798744216361436,1.0490635273910234,1.1262799326712412,1.0096470357398057,0.25295782356740604,0.18711036608294732,0.31282797099226434,1.0092791825120013,0.2811,0.8330132566178863,0.4724081910483641,0.9960121395000714,1.018943566936721,0.14062606056511195,0.07975011484876746,0.16814289849551994,1.018943566936721
7,Germany,0.20889322100768176,1.0174850718118629,0.9867031111174496,1.0600646131158848,1.001212996525588,0.22193382901829412,0.1808072876962003,0.26485873753775674,1.0009939009822717,0.2811,0.8693818968974909,0.5775948330535655,0.9959048201106926,1.0006838011435701,0.1816079847286852,0.1206556451139535,0.20803776568999846,1.0006838011435701
8,Germany,0.1649893191744647,0.955028624961294,0.9397373212543013,0.9765546489166632,1.0014552465658537,0.1853600966592161,0.16618992946800693,0.2052952936942135,1.0073814747546912,0.2811,0.9371214554199976,0.7946653055236463,0.9987390561255863,1.000662474856511,0.15461503091352877,0.1311112877299144,0.16478127690310795,1.000662474856511
9,Germany,0.14321756571307928,0.9790330582623499,0.9654979998226721,0.9971200846961953,1.007170542412279,0.20798331128755848,0.18735646558678426,0.2276791412459856,1.0016961679216259,0.2811,0.9401562345365568,0.8018801285268935,0.9984573849831325,1.0052605054561097,0.13464688730030044,0.11484332000131284,0.1429966361455311,1.0052605054561095
10,Germany,0.08314871153418064,1.0568907739052857,1.0428930744092864,1.077534478137287,1.0044789310106295,0.1369194236286259,0.11739605450527825,0.1540869892235951,1.0015023793203108,0.2811,0.9192483763989431,0.7397781568036397,0.9969543958703729,1.0066561152439788,0.07643431807745961,0.061511600559353695,0.08289547347495896,1.0066561152439788
11,Germany,0.03756630061481104,1.030175090579736,1.0179901899401123,1.0437161096775218,1.0008889220908987,0.08075729005187311,0.0704672607469102,0.09095853642988058,1.0044234562021492,0.2811,0.9427585416669688,0.8063209180850872,0.9986273073742734,1.0063698681893158,0.035415950783442215,0.030290494000794824,0.03751473363098127,1.0063698681893158
12,Germany,0.03926731575008058,0.9481632096939814,0.9366818885734163,0.9592579768904557,1.0026889001089974,0.033979001240241766,0.030772799857336584,0.03701465056768649,1.0014278017461509,0.2811,0.9654357651242615,0.8778530949690887,0.9994124069135263,0.9993873417266913,0.03791001270187532,0.03447088162968077,0.03924418217055281,0.9993873417266914
