R,k,mutation_proba,testing_proba,sequencing_proba,n_clusters,max_cluster_size,detection_proba,n_divergent_transitions,R_estimate,R_lower_cred_int,R_upper_cred_int,min_R_Rhat,max_R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,min_k_Rhat,max_k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,min_mutation_proba_Rhat,max_mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,min_testing_proba_Rhat,max_testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,min_detection_proba_Rhat,max_detection_proba_Rhat
1.1,0.5,0.281,0.1,0.01,3000,1500,0.001,0,0.8505493194639482,0.6397875503446939,1.1307150549943032,1.0010917511351254,1.015026694754904,0.5078981669098442,0.1730133796943183,1.0309971050130757,0.9989146528440851,1.0071313844909286,0.28856044851562457,0.2028041888833087,0.3826999547124458,0.9995265419244106,1.0026416823788304,0.5554649366471603,0.09552290483459894,0.9763875037851801,1.0004398403515133,1.0108371641224183,0.005554649366471604,9.552290483459894e-4,0.009763875037851802,1.0004398403515133,1.0108371641224183
1.3,0.5,0.281,0.1,0.01,3000,1500,0.001,0,1.1913877669632107,1.0394529602444553,1.3787533958200677,1.0037096656119011,1.004845797501423,0.5613846546037298,0.2335866225146852,1.0806849994623648,1.002888689599222,1.0030937963216369,0.277009523920402,0.19441150646366745,0.3688095909140046,1.0024261678198654,1.0051739028293345,0.5920759086149533,0.11026813376189955,0.9804397279881669,0.999112953332074,0.9996405189547626,0.005920759086149532,0.0011026813376189956,0.00980439727988167,0.9991129533320741,0.9996405189547626
0.7,0.1,0.281,0.2,0.01,3000,1500,0.002,0,0.7421321523882917,0.4954541644891602,1.0603426391006185,0.9987969631793264,1.0058388631515494,0.5268604845790998,0.18306150290248388,1.056669995667264,0.9986801618174361,1.0081659157321994,0.29178587151585156,0.2032570290042138,0.3874251191133311,0.998769137400166,1.004342209368292,0.4700337855072842,0.07604681650906828,0.9565472943748516,0.9985763781031874,1.006331400975277,0.004700337855072842,7.604681650906827e-4,0.009565472943748517,0.9985763781031874,1.006331400975277
0.9,0.1,0.281,0.2,0.01,3000,1500,0.002,0,0.9165831130910969,0.7179551294800763,1.1795169670158647,0.9991200470789161,1.0126136968118042,0.4960992473487615,0.16407155176505084,1.0128562979096625,0.9997165906152818,1.007654782003539,0.2859953033735463,0.20266766456175722,0.3790447164306934,0.9997467902451588,1.0046659024602151,0.579268206945121,0.09884771590313104,0.9793626012463372,1.0005289233995076,1.0067334494222822,0.005792682069451211,9.884771590313107e-4,0.009793626012463372,1.0005289233995076,1.0067334494222822
1.1,0.1,0.281,0.2,0.01,3000,1500,0.002,0,1.1025653570452536,0.9344029184376207,1.3085984852690804,1.0004308983139598,1.0152664870188794,0.4642524285367111,0.1502663985377279,0.9711398756092419,0.9994425973954356,1.004787154392646,0.2814345180523022,0.19942040780112325,0.37010382260729047,1.0000572980314786,1.017203999348252,0.6180412050067875,0.1256319522691463,0.9829444910594445,1.0000127700481303,1.0090805603042183,0.006180412050067875,0.0012563195226914631,0.009829444910594443,1.0000127700481303,1.0090805603042186
1.3,0.1,0.281,0.2,0.01,3000,1500,0.002,0,1.2784622001058812,1.1415159284942817,1.4511118628238449,1.0050348367529776,1.0050348367529776,0.25768954577201,0.10605705920281172,0.5363785640833059,1.002048324434674,1.002048324434674,0.28036055311445757,0.20338154686325358,0.3696929481789707,1.0054539598689423,1.0054539598689423,0.7258172851087207,0.224537798989874,0.992025097672179,1.0024326761940112,1.0024326761940112,0.007258172851087207,0.0022453779898987396,0.009920250976721789,1.0024326761940112,1.0024326761940112
0.7,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0.6770410036061807,0.40262117068733727,0.9908708335872018,1.000012300776639,1.0153877804415274,0.5379924585898161,0.19469801478320803,1.0634714307004438,0.9983816892170908,1.006455366679749,0.29423183158934413,0.20766087855054335,0.3893805691201142,0.9995839274290653,1.0049993088018356,0.3557906426179957,0.06232629312937687,0.9126666158280186,1.0001398846152791,1.0238895484947155,0.003557906426179957,6.232629312937686e-4,0.009126666158280184,1.0001398846152791,1.0238895484947155
0.9,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0.8016694421430113,0.5724045360452938,1.1068215516843083,1.0010854465955312,1.011350640776925,0.5176561425301154,0.1811516764896202,1.0417535225006005,0.9995413827637964,1.0031119289823014,0.2897698186866268,0.20285885950274915,0.38475480707697646,0.9994305374037187,1.0057242631084826,0.5119965876076,0.08426726854667083,0.9671317540286941,1.0003880908130065,1.012848087759977,0.0051199658760760006,8.426726854667083e-4,0.00967131754028694,1.0003880908130065,1.012848087759977
1.1,0.3,0.281,0.2,0.01,3000,1500,0.002,0,0.9965425680188761,0.8106024484942755,1.2330606451666157,0.9994277963463828,1.008451022966481,0.4896564621905794,0.16268629631076797,0.9911448112647029,0.9997174625690349,1.0066949675032575,0.28436814150543077,0.19908041286056846,0.37614212764183974,1.0010870217115388,1.008845133812736,0.5995410328993639,0.11314971932216601,0.9814468118974645,0.9995717079728473,1.0068383215314496,0.005995410328993638,0.0011314971932216602,0.009814468118974646,0.9995717079728473,1.0068383215314496
1.3,0.3,0.281,0.2,0.01,3000,1500,0.002,0,1.2524177624950996,1.1083876921429585,1.437051661988422,1.0017905630410762,1.0038812308184812,0.45182772866035026,0.17001965925160464,0.917090899224981,1.000538140307608,1.0012096575896032,0.276966770400718,0.19642514702696937,0.36553826524096916,1.0013367930525126,1.001958199000234,0.618061819187773,0.14522646499369812,0.9861035919266399,0.999713357787087,1.0046455841287314,0.00618061819187773,0.0014522646499369814,0.0098610359192664,0.999713357787087,1.0046455841287314
0.7,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0.66090507344875,0.3865178294936723,0.9808069252585849,1.000395868761903,1.0097488592695854,0.5376171656467746,0.1933059507007874,1.0704960610802172,0.9987023503492398,1.0036030330570458,0.29488433137665127,0.20686964952900783,0.38749538176273574,0.99872952434847,1.0059856262533737,0.3219437706431189,0.060319802373372394,0.8793803555003771,1.0003707897489968,1.0081226241110675,0.0032194377064311895,6.03198023733724e-4,0.00879380355500377,1.0003707897489968,1.0081226241110675
0.9,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0.7618997965147237,0.5280779058610664,1.0697475130002323,0.9994117004492825,1.0099290439578283,0.5274855291114786,0.19020030578268304,1.0446197877884364,0.9983711818851361,1.0059504196644247,0.29100024411445696,0.20399322556396213,0.38329731397502986,0.9995186256493086,1.004768055977333,0.48136290683275973,0.07949965906339575,0.9637025502623946,0.9989712225170206,1.01054555922772,0.004813629068327598,7.949965906339575e-4,0.009637025502623946,0.9989712225170206,1.01054555922772
1.1,0.5,0.281,0.2,0.01,3000,1500,0.002,0,0.9462283258273075,0.7478988565434995,1.200804026241688,0.999548891132729,1.008717089418171,0.4864360269114325,0.14731416792756513,1.0092220145954824,0.9995056211487515,1.0045875931769093,0.28558578145123786,0.19924165130147406,0.379867038516342,0.9998583113495555,1.0081352680033666,0.5920839189343275,0.10984553917571022,0.9798128451976359,1.0000822224909054,1.0141289477812356,0.005920839189343275,0.0010984553917571022,0.009798128451976359,1.0000822224909054,1.0141289477812356
1.3,0.5,0.281,0.2,0.01,3000,1500,0.002,0,1.2278837795046267,1.0820421271801939,1.420325266308036,1.002573384695194,1.0032480985234828,0.4546592262500907,0.1797507972073491,0.8806840614809821,1.0017200395162418,1.002698205469811,0.2776183244448346,0.1938048355135935,0.37167412500589286,1.0034711708325104,1.0035751270251323,0.6205142089386586,0.13949288562133674,0.9809377268690446,1.0015694672265454,1.0028934172191877,0.006205142089386587,0.0013949288562133673,0.009809377268690446,1.0015694672265454,1.0028934172191877
