month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
7,Denmark,0.831049268538759,1.0577632315021763,0.9369660913964453,1.2065084538961233,1.0018486855014221,0.280983237763818,0.2537484001758496,0.31005201575452496,1.0014855539046363,0.2825486051496279,0.19759495029016325,0.36950154204958663,1.0015869472904808,0.9457748253608278,0.8064194801917403,0.9983936102047681,1.0013664458043796,0.7859854768184884,0.670174319148752,0.8297142794744434,1.0013664458043796
8,Denmark,0.8218173050427114,1.0174223422052773,0.9035168746013474,1.169525527897532,1.001179087461145,0.4201333461980735,0.3846396579005882,0.457284876127218,1.0014537671721875,0.28043528188597894,0.1980718906513736,0.37318172344777656,1.0011751111404348,0.9268858731461508,0.7465742306946733,0.9980723521876506,1.0009318896185548,0.7617308503511304,0.6135476222838321,0.8202331307124949,1.0009318896185548
9,Denmark,0.8594348659003831,1.1246218587500822,1.0003560678226988,1.2843319466869987,1.0054134355064925,0.4070745330777973,0.3442505761897359,0.46544647394211625,1.001670658615103,0.2815504167488989,0.20099736217860292,0.3733862986332636,1.0078092281972155,0.8369965895830255,0.4980047537736192,0.9954130813938228,1.0013432311932944,0.7193440517273648,0.42800264877718364,0.8554927081231873,1.0013432311932944
10,Denmark,0.7840743499239015,1.1800749406971043,1.052336595203766,1.3452803325708365,1.006818560621655,0.4024208653629349,0.36132951082969994,0.4452575932315907,1.0001153832893657,0.2807303243663149,0.20016411114300134,0.3686957561247849,1.0067549321942946,0.9037014120858269,0.6839496056293087,0.9983865800126137,1.0037361429430296,0.7085690972065064,0.536267342414509,0.7828093086961374,1.0037361429430296
11,Denmark,0.4651326206515323,1.130886786281714,1.004575239641317,1.285330932072065,1.0172204420415625,0.2476946202928907,0.22928110491168627,0.264510627518733,1.0018199326773374,0.2800424614966735,0.19123490904068705,0.37176477706115996,1.0163975440182214,0.9531307605007118,0.8302927078851908,0.9982638327011931,1.0012820412820722,0.44333220845528404,0.38619622312649604,0.46432507260594874,1.0012820412820722
12,Denmark,0.11679548294534178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Germany,0.01421670317554727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Germany,0.08132398850871185,1.096383053092398,0.9730340682715851,1.2565441264221666,1.011585090470025,0.11435651881592121,0.09021064776859951,0.13296158851728193,1.007838089786359,0.28311064302489514,0.19705072156688602,0.3775096694652019,1.0109477658247754,0.9010477869230964,0.6619439481848335,0.996897596048567,1.0064330124967051,0.07327679986953414,0.05383192203559474,0.08107168864541614,1.0064330124967051
3,Germany,0.09200952967315362,1.1246368669425406,1.007509611797796,1.2703465736997037,1.0034272888315725,0.18220670944779727,0.15011057197998567,0.20771304643951857,1.0061180259747349,0.27970776449439594,0.19841288390515516,0.36552398568267724,1.003241891204323,0.8957014451151546,0.6413023967834692,0.9980416302012498,1.0055058495321403,0.08241306869260938,0.05900593190631314,0.09182934098904451,1.0055058495321405
4,Germany,0.07326079637891011,1.1235195741033754,1.004665303777472,1.2948224150299532,1.0099213473212016,0.1790416175200364,0.1481002288964737,0.20304998157181145,1.0063249860240606,0.2785575575230293,0.19840677090354022,0.37386918889066106,1.009746463885672,0.8978114058150801,0.6454177862507636,0.9976246509156989,1.005685251375479,0.06577437858808163,0.04728382101784413,0.0730867764133163,1.005685251375479
5,Germany,0.09080554067705826,1.1103135720282535,0.9973923736393017,1.2415265488510205,1.0007996548666547,0.19660723278946235,0.16416478019073952,0.2260552990691307,1.0050720405202043,0.2813958197769748,0.20323668220729088,0.35943354757590124,1.0015094953529,0.896555011030961,0.6487450098993361,0.9981289192899643,1.0074505947608534,0.08141216252339238,0.05890964138545273,0.09063563618153306,1.0074505947608536
6,Germany,0.16881611360672366,1.0840848919631263,0.9595289408011107,1.2336466078693376,1.0067302374547757,0.252740390856364,0.19036549369067898,0.31347858371290516,1.0010584713984356,0.28126513784638063,0.19679569595315138,0.37024921067376654,1.008769925015886,0.8357175597698441,0.4819845955161621,0.9947256782462339,0.9990135627886624,0.14108259051323987,0.08136676623334717,0.1679257231063415,0.9990135627886624
7,Germany,0.20889322100768176,1.0233497173432375,0.9120273457267709,1.169060448861067,1.0047984450858987,0.2230035816493114,0.17579142524309135,0.2673827204918005,1.000964518333434,0.2823521330683246,0.20335493889948106,0.37367831839873034,1.0049387325465804,0.8695775621237162,0.559771832735684,0.9966754425319375,1.0002211161563976,0.18164885786803053,0.11693254116953031,0.208198743489753,1.0002211161563976
8,Germany,0.1649893191744647,0.9652438428834402,0.8535587353253418,1.1106996740545847,1.003621713994249,0.185712973431415,0.16465438605019436,0.20581472701836362,1.0036435711973646,0.28566413804715196,0.19709678612037995,0.37883212180415415,1.0016688608755273,0.9365263009825333,0.7625901907673844,0.9982835001412603,1.0169391243507455,0.15451683678808797,0.12581923638383594,0.16470611503140817,1.0169391243507455
9,Germany,0.14321756571307928,0.9864146026121278,0.8771682400011316,1.1410230346417414,1.002475359956763,0.20846211738688117,0.18786263197295364,0.22970333709644544,1.0027723652456695,0.2832046958869691,0.19995612332887389,0.38238337545819345,1.0022928603420964,0.940617830810563,0.796135850311547,0.9983847578897933,1.0031173518785894,0.13471299599500586,0.11402063845853225,0.14298623467001823,1.0031173518785894
10,Germany,0.08314871153418064,1.0634407183474472,0.9468246396110752,1.2137024566538965,1.002582130708222,0.1371343415212096,0.1169658879775251,0.15614566968416038,1.005022820284808,0.28260733935068827,0.19800196891111402,0.3710171021216686,1.0027373348075497,0.919149132841048,0.7277500633650115,0.9972787456151951,1.0055064900394521,0.07642606610349262,0.06051148008771902,0.08292244273832738,1.0055064900394521
11,Germany,0.03756630061481104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Germany,0.03926731575008058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
