month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba,detection_proba
3,Denmark,0.8446500444305055,1.2363174194121251,1.1083118920330584,1.402555446940278,1.009415946106504,0.4892914257817357,0.42277104521659525,0.5721016602215953,1.0080771691408572,0.2803886391453329,0.20090350027541806,0.36524531766655194,1.0087082250773887,0.576,0.4865184255919711
4,Denmark,0.7160583941605839,1.2656358874393034,1.1376619086286113,1.4575149659027118,1.0016021054807078,0.5027008348363355,0.4309632343282588,0.5862189226538994,0.999361361315426,0.2793185391656906,0.2025771890589376,0.3755703682591164,1.0011630797611952,0.576,0.4124496350364963
5,Denmark,0.7788510079763067,1.2129353498135187,1.0942189254149273,1.3768006831588187,1.0014547191598535,0.313633126303293,0.27932928585592554,0.3523088575928247,0.9999738081763461,0.27837786830956224,0.20103796412806413,0.3658622686832817,1.0014457724584007,0.576,0.4486181805943526
6,Denmark,0.4361115894609954,1.3012593828254404,1.173131016166154,1.4642912823489342,1.003311030777819,0.32376614334851067,0.2536197379441307,0.4133099837909651,1.0048694672288958,0.27417385124061444,0.1979819258686235,0.3575364477220657,1.0032599895946617,0.576,0.25120027552953333
7,Denmark,0.831049268538759,1.0944617679616249,0.972922035979353,1.2492632273736013,1.0072119340288077,0.24500997565288749,0.2209273183802589,0.2697675110717688,1.0054722086384011,0.2756811774467298,0.19002648607485997,0.36568070374700445,1.0069206855777766,0.576,0.4786843786783252
8,Denmark,0.8218173050427114,1.078967032016329,0.9571904379112312,1.2302458969536514,1.0121546147163913,0.3840894862305748,0.3486480480369355,0.4226611312734443,1.011070085628046,0.28336748264768447,0.19500617809355236,0.37679485424512293,1.0124773223593846,0.576,0.47336676770460173
9,Denmark,0.8594348659003831,1.1923137943636861,1.060406785716699,1.3578566289288774,1.0078729639838135,0.33301657102606586,0.2872614856697982,0.385393858306194,1.0032457625909446,0.27889456156911413,0.1932859523971448,0.37015055425850013,1.0067574829158739,0.35,0.30080220306513406
10,Denmark,0.7840743499239015,1.2332962432050782,1.098178464699263,1.4100696530841252,1.0054086813557057,0.32114859132039447,0.2867953551084971,0.36130272115398687,1.0057456043825526,0.27529857027709775,0.18903271746072897,0.3680281434414691,1.0059592572640066,0.35,0.2744260224733655
11,Denmark,0.4651326206515323,1.1879371976127804,1.0731930911126095,1.337055929473028,1.002988803768847,0.16663956950586195,0.1540563969010683,0.17964272145559296,1.004007600476095,0.2761637168199838,0.19967424034605238,0.35819590815745744,1.0025872554928081,0.35,0.1627964172280363
12,Denmark,0.11679548294534178,1.2420295107391723,1.10833327681848,1.4179093247237737,1.0167918816046406,0.07204865595915107,0.0645675151774128,0.08078543615136086,1.0072525393493716,0.2754279240584867,0.19170207466453662,0.3662906313898977,1.0158177820842447,0.35,0.04087841903086962
1,Germany,0.01421670317554727,1.0999228243432433,0.9822104673844921,1.262499237950395,1.0049464891864388,0.01415894463248988,0.010862726329445486,0.018563609388129218,1.0065727799842408,0.2818224660895983,0.19827166467327595,0.37426357420436834,1.0044869114816948,0.576,0.008188821029115226
2,Germany,0.08132398850871185,1.1154275968262888,0.9891313419199261,1.27305323305223,1.014497463563906,0.08655482266463167,0.0744293689499273,0.1004275002093249,0.9997951390706146,0.28047088458562774,0.19256895119513764,0.37274898533384876,1.0144667367531586,0.576,0.04684261738101802
3,Germany,0.09200952967315362,1.148545188845184,1.0242389550898332,1.292832001178989,1.0050620473299843,0.145128531561953,0.1290481268454275,0.16287955035821983,0.9989798883983132,0.2780836111551923,0.19356514942110611,0.3611937534789831,1.004751770980878,0.576,0.05299748909173648
4,Germany,0.07326079637891011,1.1496970116232264,1.0259314675255813,1.3189551838080538,1.0124597626265153,0.14141548925859776,0.12590153504825477,0.15766298813553567,1.0007704667311683,0.27858296944454547,0.19428211856481567,0.3738239978415674,1.0101880679036102,0.576,0.04219821871425222
5,Germany,0.09080554067705826,1.1343236673119725,1.0098904855488695,1.2856768306934827,1.0112563997075092,0.15913582041308427,0.1392493371845634,0.18399391198072543,1.0042856013757795,0.27720026938446807,0.19056365231411063,0.3663359770797132,1.009630626229384,0.576,0.052303991429985555
6,Germany,0.16881611360672366,1.1146579664615703,0.9926110645549566,1.273257635313122,1.007848472788002,0.22080393233703477,0.1818096853918382,0.27032969821134173,0.9993930736504699,0.28102093146791307,0.19690470516006153,0.37455668896220473,1.0070301769142664,0.576,0.09723808143747283
7,Germany,0.20889322100768176,1.0613950594296933,0.9437836032483915,1.2391836935433946,1.0011880100842834,0.1901803324299218,0.15731134212347428,0.2301317557529925,1.001063160412341,0.281668764425583,0.19719725747350983,0.38527875980584997,1.0016636363096163,0.576,0.12032249530042469
8,Germany,0.1649893191744647,1.003025919947966,0.8984807561917837,1.1474681377333757,1.0096136717000146,0.1487141924666235,0.13359469088895295,0.1637539693779677,1.0015159858819371,0.2794349615203948,0.19815163498446578,0.3713606610039585,1.009688083356098,0.576,0.09503384784449165
9,Germany,0.14321756571307928,1.0649071109577142,0.9527949573714289,1.216890748305914,1.0043685285512733,0.1288919816618144,0.11474554313398078,0.14359627481986412,1.0047777395248363,0.27877389221516524,0.19452363844311557,0.3695111299987247,1.0040665546499457,0.35,0.05012614799957774
10,Germany,0.08314871153418064,1.1126169555196463,0.9929925659719869,1.2680624747504274,1.005370681792441,0.07440073294878072,0.06551652122008592,0.08447180770086987,1.0036005215871089,0.280324052029666,0.19774914795072507,0.3719208442626046,1.0060747315329965,0.35,0.029102049036963222
11,Germany,0.03756630061481104,1.0785611830694148,0.9660067650153166,1.232334740760226,1.0051179678858084,0.038058026840380996,0.0336350023623398,0.04260197341336053,1.0038648921203777,0.28493361754803687,0.20377750350211044,0.37535443683044145,1.0052895917035336,0.35,0.013148205215183863
12,Germany,0.03926731575008058,0.9793701867144927,0.8722677998906999,1.1171632628090544,1.0057319080403289,0.01409239285535967,0.013021102137897861,0.01523673655550854,1.0085057052326434,0.2830943188773367,0.19804475192288984,0.3744034623253693,1.006379960821733,0.35,0.0137435605125282
