R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba,n_clusters,max_cluster_size,mutation_proba,detection_proba,n_divergent_transitions,R_estimate,R_lower_cred_int,R_upper_cred_int,min_R_Rhat,max_R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,min_k_Rhat,max_k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,min_number_yearly_mutations_Rhat,max_number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,min_mutation_proba_Rhat,max_mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,min_testing_proba_Rhat,max_testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,min_detection_proba_Rhat,max_detection_proba_Rhat
1.1,0.5,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0.9539372977228606,0.839682262363059,1.0926758453800234,1.001168220202093,1.0083510269062068,0.49362970810465046,0.16375748696140952,1.0078583820264901,0.9988444659649524,1.0065997315380673,13.999684813163466,13.037660811197087,14.966401082880667,0.9991409183515102,1.0031953269407596,0.18068469834223155,0.16940659142336967,0.191903679901403,0.9991517338597693,1.0031988943740342,0.5948510148809207,0.11027018519070587,0.9834857403944953,1.001177514495396,1.0101451734446645,0.005948510148809208,0.001102701851907059,0.009834857403944953,1.001177514495396,1.0101451734446645
1.3,0.5,14,5.2,0.1,0.01,3000,1500,0.180709,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.1,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,0.7290760432372124,0.5430710600063193,0.9644466338042151,1.0000809001510014,1.0109658714423129,0.5049943302991173,0.17103297554667174,1.0220919261480284,0.9992270052688769,1.0055487204940596,14.012347723534274,13.02954740510358,15.016355112942662,0.9985643916802576,1.005533594940731,0.18083171808037987,0.169310644754192,0.19247818297465527,0.9985574966388097,1.0055524702159728,0.4983843191068908,0.08483400516518853,0.9647355219416859,0.9998533491825004,1.0175460868748238,0.004983843191068908,8.483400516518854e-4,0.00964735521941686,0.9998533491825004,1.0175460868748238
0.9,0.1,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,0.9010088755344524,0.776496947691683,1.0638386091469194,0.9997885015582355,1.0110381206087384,0.4695181280923265,0.15269433319982473,0.9762860457763134,0.9999571452648864,1.00573919900037,13.99924282544939,13.003794062518603,14.992912524695871,0.9995595526522769,1.004769440577742,0.18067837371699072,0.16900602014424917,0.1922086291981623,0.9995624104862684,1.0047661926968576,0.5992068200184155,0.11007303073141518,0.9822122277294466,1.000132171508284,1.0116880539881734,0.0059920682001841545,0.0011007303073141518,0.009822122277294466,1.000132171508284,1.0116880539881734
1.1,0.1,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,1.0936117641302072,1.0365759550957603,1.1571815450234262,0.9999579370961754,1.0068983863728964,0.41670954976078745,0.15463232981941563,0.8550446542017357,0.999273940773664,1.008315991793604,13.994212110686227,13.009863407043818,14.98665091316723,0.9991514514464621,1.0033561734071732,0.18062022228440502,0.16907782172798813,0.19213661505453436,0.9991440941627212,1.003402131824163,0.633754999093358,0.15372605175188125,0.9827331720180155,0.9994940578254199,1.0045974886584776,0.0063375499909335805,0.0015372605175188125,0.009827331720180153,0.9994940578254199,1.0045974886584776
1.3,0.1,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,0.3,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,0.6410913932173644,0.41207549578832997,0.8984235657171833,1.0001696176361976,1.0111887044595156,0.537420657922573,0.192839757811795,1.0691064609702772,1.00013918884374,1.0052244263811807,14.006837083253492,13.027541986960228,14.992448455552472,0.998765327215096,1.0019433608336923,0.18076738186688932,0.16928692758360903,0.192203292209277,0.9987768310318407,1.0019766162393828,0.37308663920606966,0.06362656682818033,0.9218260151963437,0.999911465884632,1.0106789517798491,0.0037308663920606966,6.362656682818033e-4,0.009218260151963437,0.999911465884632,1.0106789517798491
0.9,0.3,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,0.8105262758477991,0.6582549941160375,1.0163964092940945,1.0010448995412435,1.0062785279722788,0.5338653640869541,0.1911616140118026,1.0598500368035986,0.9986471319304618,1.0027064979446116,14.012127846566191,13.046175814657508,14.982092156003661,1.000363703543169,1.0065816261087532,0.1808293276166256,0.16950727534021534,0.19208418122124665,1.0003676367694525,1.0065539939447479,0.5421213329995165,0.08969694004766691,0.9773995858616096,1.0013089126859482,1.00800988523861,0.005421213329995165,8.96969400476669e-4,0.009773995858616095,1.0013089126859482,1.00800988523861
1.1,0.3,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,1.0523786978944567,0.9798686843705153,1.1387097699756945,1.000813177183568,1.0105685212958426,0.5275112447860606,0.20272025240455485,1.0269578049562504,0.999351412260802,1.0074574157670266,14.004544519735449,13.045476291773145,14.96964411960658,0.9997361846975648,1.0053135895411596,0.18074131633339066,0.16949900443329408,0.19194098928675998,0.9997434384421531,1.0053143182792783,0.5896920179152405,0.12082203890445366,0.9820068958839471,1.0003009450241727,1.0129043756300826,0.005896920179152405,0.0012082203890445365,0.0098200689588394709,1.0003009450241727,1.0129043756300826
1.3,0.3,14,5.2,0.2,0.01,3000,1500,0.180709,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
