month,country,sequencing_proba,R_estimate,R_lower_cred_int,R_upper_cred_int,R_Rhat,k_estimate,k_lower_cred_int,k_upper_cred_int,k_Rhat,number_yearly_mutations_estimate,number_yearly_mutations_lower_cred_int,number_yearly_mutations_upper_cred_int,number_yearly_mutations_Rhat,mutation_proba_estimate,mutation_proba_lower_cred_int,mutation_proba_upper_cred_int,mutation_proba_Rhat,testing_proba_estimate,testing_proba_lower_cred_int,testing_proba_upper_cred_int,testing_proba_Rhat,detection_proba_estimate,detection_proba_lower_cred_int,detection_proba_upper_cred_int,detection_proba_Rhat
10,Denmark,0.7840743499239015,1.0329896999590176,1.0087646094485563,1.0616126321884487,1.0073737767261288,0.402500718579367,0.3597433431262943,0.4463760287556971,1.0030907299127831,14.002639146664515,12.983492131062455,14.976485800228216,1.0037602839744908,0.1807177540948242,0.1687657990626175,0.19201969347409364,1.0037571159302685,0.8959674621391945,0.6569546892144054,0.9979054379236938,1.0065757092007117,0.702505105429757,0.5151013208752436,0.7824320575255463,1.0065757092007117
11,Denmark,0.4651326206515323,0.9897422214236377,0.9722228140771144,1.0086846104143024,1.0042995806746984,0.2482894066949407,0.23018782746720093,0.2655142440047778,0.9993294715474252,13.988167637789891,13.03842723151722,14.975526901048315,1.0028588454705194,0.18055097698837472,0.16941565392662963,0.19200866310490566,1.0028680033081223,0.9543221520473036,0.8321579851460386,0.9985368994104133,1.0010425388540565,0.4438863635275726,0.3870638244270758,0.46445208484002115,1.001042538854057
12,Denmark,0.11679548294534178,1.0688314522742077,1.0517626153423538,1.085888699560634,1.0066793817804667,0.13459828893582235,0.11848609304323252,0.14853765075969053,1.003133625536378,13.992111333711033,13.049811481958677,14.920069050522304,1.0044600163512858,0.18059679062445588,0.16955026066254822,0.19137046676299702,1.0044494895574192,0.9412857515013745,0.7963626816891184,0.9982466461274536,1.0074878639270004,0.10993792393617194,0.09301156400752807,0.11659069913302365,1.0074878639270004
1,Germany,0.01421670317554727,0.9569014403024367,0.9289344576039433,0.9858429297055998,1.0000145288014695,0.020438143486994867,0.012672451921670711,0.02808788517553106,1.0006942786973805,14.041045979614193,13.100906613723932,15.025763175079208,1.0095215312783505,0.1811667253799961,0.17015413720692718,0.1925863359511102,1.009500203995385,0.8598746895634488,0.5226982883182156,0.9968695858228566,1.0017126514026153,0.012224557895445822,0.0074310310152755875,0.01417216963588901,1.0017126514026153
2,Germany,0.08132398850871185,0.9548860885761706,0.9347250176955584,0.9753447686872098,1.0029509489239992,0.11423202602499434,0.09246760963294,0.13161023981920342,1.0007323165125355,13.989788573712016,12.998945557040365,14.887729239753453,1.0012343602667484,0.18057011635557682,0.16894865686458904,0.19099807429274346,1.0012268047757984,0.9018244573861522,0.6718446372074812,0.9967996464723218,1.0023032102434932,0.07333996180934674,0.054637085555900876,0.08106372299520313,1.0023032102434932
3,Germany,0.09200952967315362,0.9853629895183367,0.9660318283498108,1.0086029888116608,1.0040118537104967,0.18251623233982012,0.150307280045153,0.20787471584094622,1.002871730728734,14.004391192020186,13.050005889684158,15.006993920441719,1.0002632210564484,0.18073933540651232,0.16955255923278748,0.19237055437795592,1.0002707372880968,0.8977534028706583,0.6579977895097469,0.9977389445297232,1.0070864192606523,0.0826018683606025,0.060542067138766545,0.09180149102276854,1.0070864192606523
4,Germany,0.07326079637891011,0.9854697781058958,0.9669427556633021,1.0060771098468761,1.0017986985842355,0.17904762242002473,0.14942004538206344,0.2047381626054796,1.0016095274005,14.03220621856476,12.964873670130771,14.992956051841738,1.0003903451565337,0.18106379036671744,0.1685454364764089,0.19220912945784596,1.0003908204576832,0.8981575814924158,0.6618635633635431,0.996679438854592,1.0018357903986053,0.06579973969389025,0.04848865174619641,0.07301752942497265,1.0018357903986053
5,Germany,0.09080554067705826,0.9710855675667249,0.9504713196602294,0.9967368488738348,1.0088476907998054,0.19594981621935512,0.15445330832208004,0.226294103237833,1.0084623523681928,13.985861296660783,13.030535499006373,14.967127670516335,1.0019054003980028,0.1805239920571044,0.16932233024258772,0.19191203904964513,1.0019159143730703,0.8902396283084091,0.5918883623662958,0.9980357295906475,1.0132982411504479,0.08083869078068842,0.053746742765130084,0.09062717404050105,1.0132982411504479
6,Germany,0.16881611360672366,0.9475319717367668,0.9158692647706507,0.9960338318340191,0.9998105422096282,0.2529433361595353,0.19002024173172954,0.3086222134878246,1.0033846579796246,14.006462618902232,13.042602640418846,15.017205673253521,1.0008639665587984,0.18076282214578432,0.1694650265369179,0.19248796142114377,1.0008734736733902,0.8347476435438039,0.4419951470192291,0.9972770231705329,1.0023206686260842,0.14091885302543572,0.0746159029528187,0.1683564312409319,1.0023206686260842
7,Germany,0.20889322100768176,0.8927351448163756,0.8636216053627123,0.9328110708862903,1.0076513802184708,0.22325005992457564,0.18268638113662342,0.266010620392145,1.000567107799605,14.011805749409573,12.998256159622908,14.996147379417232,1.0002809273013422,0.18082466030457484,0.16894050007734948,0.19224583034745743,1.0003053522330783,0.8742709781371777,0.6075677874612853,0.996237838082072,1.0005820348539858,0.18262928065661163,0.12691679210329848,0.20810733088669334,1.000582034853986
8,Germany,0.1649893191744647,0.8378809974842811,0.8198238558556917,0.8592858711795542,1.00214815383849,0.18512257120114597,0.16464317879519033,0.20449880452075928,1.0010279664309805,13.992137565068711,13.098437630300923,15.02882285175607,1.000181631752536,0.1805979119604209,0.17012496719536144,0.1926215061877822,1.0001759195900177,0.9349212063323531,0.7793984928421172,0.998100010932977,1.0019802094383918,0.15425201331454413,0.1285924266996248,0.16467584127185764,1.0019802094383918
9,Germany,0.14321756571307928,0.8588207527287828,0.8427005354732509,0.8793140879991173,1.0055127390702878,0.2089748046587413,0.1884278824246953,0.2290292337282483,1.0022134097952533,13.996178978577863,13.092601492976046,15.011944989444284,1.0018392765244932,0.18064421419377752,0.17005601164342815,0.19242748019301228,1.0018234089057516,0.9444362786231681,0.8046741769926185,0.9985103240448844,1.0049568600497176,0.13525986479552962,0.1152434768210583,0.1430042179490863,1.0049568600497178
10,Germany,0.08314871153418064,0.9274640862703659,0.9091773316362537,0.9476362072062878,1.0053997736066815,0.1364047791492805,0.11644013860899731,0.15517255286193812,1.0010822767518552,14.016624136602122,13.020201430624375,14.972893371014697,1.004204605818182,0.18088138208909157,0.16920010837001462,0.1919783684407031,1.0041755976446134,0.917159734651364,0.7337687201430958,0.9974804909703198,1.0015223631140404,0.07626065020729189,0.061011923643983196,0.08293921760466401,1.0015223631140406
11,Germany,0.03756630061481104,0.9031123915301388,0.8861147551389077,0.9207048067461399,1.006164300377721,0.08043259353177971,0.06923470168115972,0.09114241767239906,0.999299377376357,13.951404912867098,12.994245317642312,15.005106502779837,1.0051975685399925,0.1801199706350825,0.1688930439829718,0.19234885241201344,1.0052216955565063,0.9407142469247074,0.7905495429408257,0.9984477465415336,0.999711834816899,0.03533915419260915,0.029698021781016534,0.037507988194759916,0.999711834816899
12,Germany,0.03926731575008058,0.8323198755217949,0.8178250765405106,0.8471373660773246,1.0054898510735817,0.033950336152976775,0.0301835933939004,0.0369252394159099,1.001312278503563,14.008839333723744,13.00317371026433,15.044879885792888,1.0040282371076488,0.1807901566923935,0.16899868085368144,0.19280605275679444,1.0040347349764691,0.9634062330703383,0.8650654434257279,0.9983647316160581,1.0036859856558833,0.03783031854849658,0.033968745651350225,0.03920304283713547,1.0036859856558833
