size,month,frequency
29,9,2
30,9,1
31,9,9
32,9,4
33,9,4
34,9,1
35,9,4
36,9,4
37,9,5
38,9,2
39,9,5
40,9,1
41,9,2
42,9,2
43,9,2
44,9,3
45,9,3
48,9,1
49,9,3
50,9,1
51,9,1
53,9,1
55,9,1
56,9,1
57,9,2
58,9,1
60,9,4
61,9,1
62,9,1
63,9,3
64,9,1
65,9,1
67,9,1
70,9,1
75,9,1
81,9,1
82,9,1
123,9,1
130,9,1
135,9,1
137,9,1
157,9,1
167,9,1
170,9,1
172,9,1
283,9,1
1,10,15817
2,10,2667
3,10,1029
4,10,571
5,10,391
6,10,248
7,10,174
8,10,142
9,10,113
10,10,93
11,10,57
12,10,54
13,10,51
14,10,34
15,10,29
16,10,34
17,10,17
18,10,23
19,10,16
20,10,20
21,10,14
22,10,12
23,10,11
24,10,8
25,10,9
26,10,6
27,10,10
28,10,6
29,10,4
30,10,5
31,10,7
32,10,7
33,10,3
34,10,3
35,10,2
36,10,3
37,10,5
38,10,1
39,10,6
40,10,1
41,10,1
42,10,1
43,10,1
44,10,2
45,10,4
46,10,1
47,10,1
48,10,1
49,10,3
50,10,2
51,10,2
53,10,1
55,10,1
56,10,1
57,10,2
58,10,1
60,10,2
61,10,2
62,10,1
63,10,4
64,10,1
65,10,1
67,10,1
70,10,1
74,10,1
75,10,1
81,10,1
82,10,1
130,10,1
135,10,1
137,10,1
157,10,1
167,10,1
170,10,1
172,10,1
283,10,1
1,11,26384
2,11,4405
3,11,1465
4,11,783
5,11,469
6,11,282
7,11,210
8,11,152
9,11,108
10,11,94
11,11,58
12,11,58
13,11,48
14,11,28
15,11,30
16,11,29
17,11,19
18,11,22
19,11,18
20,11,20
21,11,13
22,11,15
23,11,12
24,11,8
25,11,10
26,11,5
27,11,10
28,11,5
29,11,3
30,11,7
31,11,4
32,11,6
33,11,4
34,11,3
35,11,2
36,11,2
37,11,4
38,11,1
39,11,5
40,11,3
41,11,1
42,11,2
43,11,1
44,11,1
45,11,3
46,11,1
47,11,1
48,11,1
49,11,1
50,11,2
51,11,2
53,11,1
55,11,1
56,11,1
57,11,2
58,11,1
60,11,3
61,11,2
63,11,4
